Costa Concordia	http://en.wikipedia.org/wiki/Costa_Concordia_disaster
42.3653	10.9214	2012-01-13		0.0000	180.0000
42.3718	10.9258	2012-01-13	21:02:00	1.1000	13.0000
42.3704	10.9256	2012-01-13	20:58:00	1.4000	7.0000
42.3675	10.9253	2012-01-13	20:53:00	2.9000	351.0000
42.3592	10.9344	2012-01-13		0.0000	0.0000
42.3418	10.9534	2012-01-13		0.0000	0.0000
42.3378	10.9661	2012-01-13	20:37:00	15.3000	285.0000
42.3354	10.9875	2012-01-13	20:33:00	15.4000	276.0000
42.3329	11.0139	2012-01-13	20:29:00	15.4000	278.0000
42.3299	11.0434	2012-01-13	20:24:00	15.5000	278.0000
42.3280	11.0610	2012-01-13	20:21:00	15.7000	278.0000
